"idEmployee";"Last Name";"First Name";"SSN";"Pay Rate";"Pay Rates_idPay Rates";"Vacation Days";"Paid To Date";"Paid Last Year"
1;"Comins Baccas";"Elliot";594294066.0;"ApfEcEAT5HFuL8WeLjr4C9";87;33;50.0;79.0
2;"Kaubisch Catcheside";"Laraine";992824449.0;"pVyNcvLGUnX2S5y9guovOc";32;27;33.0;49.0
3;"Buxcy Grishenkov";"Burr";326796548.0;"V8eSe8ors9pfQ9OELFJpkH";83;8;39.0;1.0
4;"Emons Sumner";"Nicoli";890715218.0;"3EbOv5sVZfzplhXYlXNqRY";79;43;27.0;43.0
5;"Eate Rearie";"Greer";752448524.0;"fWLQ9OrCgGPeu1UexNfBkA";23;43;87.0;51.0
6;"Breens Jordison";"Marice";322722422.0;"7SJwyoo6LjslpNkswcV2xP";81;1;85.0;73.0
7;"Gottelier Jull";"Maryellen";382462884.0;"aybBMyFSyN2EhGO0K0Qh5R";100;43;73.0;43.0
8;"Lodge Murfill";"Onida";974248996.0;"HNXIaLwgbd0sBYaduIRInv";89;38;78.0;99.0
9;"Kerr Canby";"Nanice";246925236.0;"3Sdazs7VMVvFGgowbBiCsd";98;45;30.0;11.0
10;"Josupeit Houlison";"Syd";576695429.0;"acWn4NPkch7LUwXF41Yj9u";53;16;6.0;90.0
11;"Capes Swigg";"Raymund";802454530.0;"Rd5kzSG3fk2JK02z1pSKmx";26;22;68.0;61.0
12;"Havile Mariotte";"Salaidh";329263729.0;"BWyJXbRgEf5ccRAKyyRMkj";47;31;5.0;77.0
13;"Beardsley Lambrook";"Levin";751091621.0;"UqMBWLDXwTGGo4LlKCs0IE";27;26;95.0;25.0
14;"Beardsell Brooksbie";"Marketa";239471968.0;"C0WKW4AZW9bFSzIN9Mnbuw";52;28;49.0;20.0
15;"McConnal Paradis";"Paul";651194752.0;"uBGKxnrez7HdnXjQ7NL55M";63;34;63.0;29.0
16;"Wabersinke Struther";"Rhonda";360665859.0;"BBfwuiO76Vof6zGtDnGKNV";22;34;14.0;71.0
17;"Job Breit";"Levin";877129520.0;"8xg0zVftmdx1rMMJ0Zw1El";7;7;33.0;24.0
18;"Deerr Jewson";"Velma";951027077.0;"hq2tdr6AjuKKAOJc7KP0o8";57;22;78.0;20.0
19;"Growy Guitt";"Millisent";470123557.0;"xPjxIGY5t7JV7lYcfjsVB1";34;41;53.0;64.0
20;"Englishby Lerhinan";"Shalne";154726448.0;"4eQngjmDK4GvQg6r02rvmT";13;22;36.0;32.0
21;"Bloxholm Grigore";"Emalee";949102147.0;"REttHE8z8GfJiUPTuEsgiW";39;12;29.0;67.0
